surface_m2,nb_chambres,quartier,annee_construction,garage,prix
59,2,Quartier Résidentiel,2018,0,249500
56,3,Centre-Ville,1971,0,277600
170,7,Quartier Résidentiel,2009,1,687100
201,8,Centre-Ville,1974,1,1262000
49,2,Quartier Résidentiel,1963,1,157900
144,5,Banlieue Sud,1960,1,464500
67,1,Banlieue Sud,1989,0,162400
210,8,Zone Industrielle,2009,1,488000
194,7,Banlieue Nord,1968,1,501000
189,7,Banlieue Sud,1955,1,487500
118,4,Banlieue Sud,1993,1,305300
167,6,Banlieue Nord,1966,1,505200
86,2,Quartier Résidentiel,2013,0,371600
123,6,Centre-Ville,2018,1,834700
,3,Banlieue Sud,1993,1,239000
60,2,Quartier Résidentiel,2003,1,275300
53,1,Quartier Résidentiel,1974,1,211700
77,3,Zone Industrielle,1957,0,156100
65,2,Centre-Ville,1962,1,406300
91,3,Zone Industrielle,2009,1,200000
72,1,Zone Industrielle,2004,0,143600
27,1,Banlieue Sud,1986,1,97800
73,3,Quartier Résidentiel,1988,1,287400
67,2,Banlieue Sud,1980,1,207600
74,2,Banlieue Nord,1995,1,229300
131,5,Banlieue Sud,1964,1,355100
141,6,Quartier Résidentiel,1984,1,548900
109,3,Zone Industrielle,1961,0,216700
118,5,Centre-Ville,2001,0,779900
26,1,Zone Industrielle,2004,1,65900
104,3,Centre-Ville,1970,1,565200
196,7,Quartier Résidentiel,1976,0,567400
48,1,Quartier Résidentiel,1972,0,174700
86,2,Zone Industrielle,2005,1,174500
122,5,Zone Industrielle,1963,1,237800
110,4,Zone Industrielle,1984,0,216600
108,4,Quartier Résidentiel,1972,0,375300
318,10,Quartier Résidentiel,1967,1,1373700
54,1,Banlieue Sud,1964,1,156900
36,1,Quartier Résidentiel,2012,0,159300
129,5,Banlieue Sud,1993,1,366500
211,8,Banlieue Nord,1953,1,703900
197,8,Banlieue Sud,2010,0,581300
86,3,Banlieue Nord,1987,1,315000
44,2,Zone Industrielle,2020,1,92400
77,2,Banlieue Nord,2024,0,235400
35,1,Banlieue Sud,2005,1,136900
61,1,Centre-Ville,2004,1,338300
64,1,Banlieue Sud,1983,1,183200
52,2,Quartier Résidentiel,1975,1,180000
68,2,Banlieue Sud,2013,0,204200
66,3,Banlieue Nord,1983,1,208200
39,1,Quartier Résidentiel,1982,1,145700
52,2,Banlieue Sud,1978,0,171200
70,2,Quartier Résidentiel,1974,1,270100
158,6,Banlieue Sud,2022,1,513500
82,2,Banlieue Nord,1981,1,224100
94,3,Quartier Résidentiel,1962,1,292800
118,5,Centre-Ville,2002,1,639800
46,1,Quartier Résidentiel,1955,0,166400
95,3,Banlieue Sud,1994,1,305500
76,3,Banlieue Nord,1979,1,240200
164,5,Banlieue Nord,2015,1,579300
43,1,Quartier Résidentiel,2002,1,159800
102,4,Zone Industrielle,1975,1,229000
255,10,Banlieue Sud,2015,1,772200
102,4,Quartier Résidentiel,2018,1,477100
73,3,Centre-Ville,2010,1,462900
44,1,Quartier Résidentiel,2013,0,160100
107,3,Banlieue Nord,1993,1,359800
350,10,Banlieue Nord,2020,0,1229700
165,6,Banlieue Sud,1973,1,432800
84,2,Banlieue Sud,2019,1,269200
59,2,Quartier Résidentiel,1995,1,223300
178,7,Zone Industrielle,2005,0,369000
60,2,Quartier Résidentiel,2012,0,260500
54,2,Banlieue Sud,1958,0,139800
124,4,Zone Industrielle,2015,1,256800
69,2,Banlieue Nord,1953,1,231600
199,7,Banlieue Nord,2002,1,734300
35,1,Quartier Résidentiel,1987,0,149700
32,1,Centre-Ville,2017,0,178800
129,4,Zone Industrielle,1950,0,251800
52,1,Zone Industrielle,1957,1,109500
104,4,Quartier Résidentiel,1967,1,402800
80,2,Banlieue Nord,1985,1,217700
62,2,Banlieue Sud,1970,0,177100
90,2,Banlieue Nord,2012,1,273600
,4,Centre-Ville,2010,0,639000
25,1,Banlieue Sud,1991,1,82900
122,3,Quartier Résidentiel,1974,1,544400
57,2,Banlieue Sud,2012,1,186100
34,1,Banlieue Nord,1967,0,88300
52,2,Banlieue Nord,2024,1,199900
50,2,Zone Industrielle,1987,0,97100
94,4,Quartier Résidentiel,1980,1,373900
32,1,Quartier Résidentiel,1983,0,109600
190,7,Quartier Résidentiel,2005,1,728300
164,7,Banlieue Sud,1972,1,570700
,1,Banlieue Sud,2001,1,210500
67,2,Centre-Ville,1950,1,377800
46,1,Quartier Résidentiel,1953,1,168200
71,3,Banlieue Sud,2012,0,184800
187,6,Banlieue Sud,1986,0,544200
36,1,Banlieue Nord,1956,0,91300
29,1,Quartier Résidentiel,1966,0,120100
58,1,Centre-Ville,2002,1,329600
108,4,Banlieue Nord,2003,0,349000
118,4,Banlieue Sud,2021,0,379600
99,3,Banlieue Nord,2021,0,312400
165,6,Quartier Résidentiel,1988,1,643900
90,3,Zone Industrielle,2007,0,220800
79,3,Banlieue Nord,1957,0,232000
,5,Banlieue Sud,2022,1,425000
234,8,Banlieue Nord,2021,1,803500
100,3,Centre-Ville,1950,0,539900
32,1,Banlieue Nord,1969,1,111800
174,7,Zone Industrielle,2001,0,390300
66,2,Banlieue Nord,1981,1,193600
96,3,Banlieue Sud,1979,1,253200
70,3,Banlieue Nord,1962,1,216400
44,2,Quartier Résidentiel,1994,1,189900
54,2,Banlieue Sud,1971,1,148500
37,1,Centre-Ville,1978,0,182500
102,3,Banlieue Nord,1982,1,316200
123,5,Quartier Résidentiel,1957,1,382200
113,4,Zone Industrielle,2012,1,256000
188,7,Centre-Ville,1998,0,1232700
60,2,Banlieue Nord,2023,1,227800
120,4,Banlieue Nord,1980,1,294900
101,4,Banlieue Nord,1978,1,333700
101,3,Banlieue Nord,2021,1,351700
37,1,Banlieue Sud,2008,1,121600
121,5,Banlieue Nord,2013,0,374200
106,3,Quartier Résidentiel,1952,1,404700
54,1,Zone Industrielle,2001,0,102500
111,4,Quartier Résidentiel,1971,0,449700
124,5,Banlieue Sud,1988,0,400700
169,6,Banlieue Sud,2000,1,510500
56,1,Banlieue Nord,1993,1,204300
161,6,Banlieue Nord,1970,1,435900
40,1,Quartier Résidentiel,1973,1,184200
112,5,Quartier Résidentiel,2012,1,425200
93,4,Banlieue Sud,2007,0,313900
154,6,Banlieue Nord,1967,0,392900
100,3,Banlieue Nord,1959,1,301400
130,4,Quartier Résidentiel,1998,1,544500
74,3,Banlieue Nord,2004,0,233900
173,6,Quartier Résidentiel,1983,1,655300
39,1,Banlieue Nord,1965,1,125400
,4,Zone Industrielle,1975,0,213500
39,1,Quartier Résidentiel,1978,0,141700
22,1,Zone Industrielle,2012,1,63200
46,2,Centre-Ville,1978,1,203200
115,4,Quartier Résidentiel,1996,0,469800
70,3,Centre-Ville,1993,1,364900
178,7,Quartier Résidentiel,1978,0,609800
105,3,Quartier Résidentiel,2005,0,462800
46,2,Banlieue Nord,1974,0,146400
88,3,Centre-Ville,1978,1,488800
76,3,Banlieue Sud,1950,1,224000
27,1,Banlieue Sud,1959,1,83700
64,2,Banlieue Sud,2019,1,247300
129,4,Centre-Ville,2021,1,803800
112,3,Banlieue Sud,1955,0,290800
120,4,Banlieue Nord,1961,1,376100
109,4,Centre-Ville,2018,1,526800
47,2,Quartier Résidentiel,2019,0,184800
54,2,Quartier Résidentiel,2014,0,226800
70,3,Banlieue Sud,2010,0,187200
46,1,Quartier Résidentiel,2000,0,190800
93,3,Banlieue Sud,1991,0,235900
78,2,Banlieue Sud,1979,1,219200
226,9,Quartier Résidentiel,1960,1,862900
143,6,Quartier Résidentiel,1957,0,459500
74,2,Banlieue Nord,2010,1,258600
94,3,Banlieue Nord,2005,0,326600
139,6,Banlieue Sud,1978,1,379900
121,4,Quartier Résidentiel,2015,1,487600
131,6,Banlieue Nord,2012,1,482100
152,6,Centre-Ville,1984,1,922500
41,1,Banlieue Nord,1951,0,122700
32,1,Banlieue Sud,1954,1,98000
20,1,Quartier Résidentiel,2022,1,106500
66,1,Quartier Résidentiel,1984,1,241400
276,10,Banlieue Sud,1965,0,776700
167,6,Quartier Résidentiel,2012,1,733800
38,1,Quartier Résidentiel,1966,1,166400
83,3,Centre-Ville,2005,1,549700
82,2,Quartier Résidentiel,1967,1,303600
116,4,Quartier Résidentiel,1993,0,517000
133,4,Banlieue Sud,1961,0,354600
182,7,Banlieue Nord,2018,1,686100
51,1,Banlieue Nord,2003,0,153900
35,2,Banlieue Nord,1954,0,109600
72,2,Centre-Ville,2021,1,470800
114,4,Centre-Ville,2004,0,692500
327,10,Banlieue Nord,1987,1,1096500
97,3,Banlieue Sud,2007,0,246300
75,2,Quartier Résidentiel,1993,1,291000
210,8,Quartier Résidentiel,1995,0,934200
138,5,Banlieue Sud,1971,1,350600
127,5,Centre-Ville,1969,1,650600
69,3,Quartier Résidentiel,1998,1,300800
93,3,Banlieue Sud,1999,1,294000
175,6,Centre-Ville,1961,0,826700
68,2,Quartier Résidentiel,1993,1,267100
48,1,Banlieue Nord,2009,0,175100
101,3,Banlieue Sud,1986,0,299000
134,5,Banlieue Sud,2003,0,386200
77,3,Banlieue Nord,1978,0,220200
78,3,Banlieue Sud,1956,1,207400
120,4,Banlieue Sud,1983,0,319300
173,6,Centre-Ville,2019,1,1070600
87,3,Banlieue Nord,1964,0,222700
83,3,Centre-Ville,1993,0,532900
37,2,Quartier Résidentiel,1959,1,156600
124,5,Quartier Résidentiel,1987,1,575500
98,4,Zone Industrielle,1950,0,165700
39,1,Banlieue Sud,1965,1,119000
244,9,Quartier Résidentiel,1968,1,879100
48,1,Centre-Ville,1980,1,294300
99,3,Banlieue Nord,1989,1,376500
28,1,Banlieue Sud,2022,0,80500
55,2,Quartier Résidentiel,1953,1,224800
71,2,Quartier Résidentiel,2015,0,326400
108,4,Banlieue Sud,1974,0,311600
112,3,Banlieue Nord,1980,0,332500
79,3,Quartier Résidentiel,2022,0,308400
181,8,Banlieue Nord,1954,0,502800
73,2,Quartier Résidentiel,1988,0,263400
133,4,Quartier Résidentiel,2017,1,498800
59,2,Quartier Résidentiel,2009,0,229900
174,6,Banlieue Sud,2007,1,530300
95,3,Banlieue Nord,1995,0,290200
121,5,Centre-Ville,1979,0,712900
61,1,Banlieue Nord,1972,1,228300
112,4,Quartier Résidentiel,1992,0,491700
58,2,Quartier Résidentiel,1996,1,226800
106,4,Banlieue Nord,1982,0,303700
64,2,Quartier Résidentiel,2005,1,281400
54,1,Quartier Résidentiel,1955,1,228300
396,10,Banlieue Nord,1994,0,1199300
173,6,Quartier Résidentiel,1953,0,660100
79,3,Banlieue Sud,2001,1,238900
41,2,Zone Industrielle,2016,0,89500
105,4,Banlieue Nord,1965,1,328600
115,5,Quartier Résidentiel,1961,1,447900
103,3,Banlieue Sud,1973,1,281300
84,2,Banlieue Sud,1976,1,232400
208,9,Quartier Résidentiel,1980,0,832100
203,8,Banlieue Sud,1957,1,539100
82,2,Banlieue Nord,2006,0,293000
121,3,Quartier Résidentiel,1988,0,491600
63,3,Banlieue Nord,1989,1,205700
130,4,Quartier Résidentiel,1967,0,470200
158,5,Centre-Ville,1972,0,888500
42,1,Banlieue Sud,1982,1,124700
108,5,Zone Industrielle,1974,1,204600
153,5,Quartier Résidentiel,1980,1,738100
179,6,Banlieue Sud,1964,0,488000
153,5,Banlieue Sud,1976,1,434300
40,1,Banlieue Sud,1983,0,103900
174,6,Banlieue Nord,2022,1,667600
202,8,Quartier Résidentiel,1979,1,766800
54,3,Banlieue Sud,1981,1,163000
175,6,Banlieue Sud,2005,1,438000
73,3,Banlieue Nord,1952,1,210200
92,3,Quartier Résidentiel,1977,0,369100
51,2,Centre-Ville,1999,1,310300
35,1,Banlieue Sud,2022,1,126800
184,7,Centre-Ville,2001,1,1014800
326,10,Quartier Résidentiel,1963,1,1328600
,3,Banlieue Sud,2014,1,281000
148,6,Banlieue Nord,1953,1,346400
139,5,Banlieue Sud,1988,1,442600
85,3,Centre-Ville,1978,1,381100
57,1,Quartier Résidentiel,1968,0,186900
53,1,Banlieue Nord,1969,1,168300
161,5,Banlieue Nord,1973,0,450700
82,3,Quartier Résidentiel,1964,1,327600
85,2,Banlieue Sud,1989,1,275900
127,5,Centre-Ville,1972,0,654000
312,10,Quartier Résidentiel,1955,1,1106900
244,10,Banlieue Sud,2012,1,747700
103,4,Banlieue Sud,2022,1,373700
60,1,Quartier Résidentiel,1997,0,253700
45,2,Banlieue Sud,1953,1,110800
43,2,Banlieue Sud,1974,0,100500
276,10,Banlieue Nord,1967,1,793900
166,7,Banlieue Nord,1968,0,496700
100,3,Quartier Résidentiel,2010,1,416600
38,1,Centre-Ville,1996,1,208900
69,2,Banlieue Nord,2005,1,274600
54,2,Banlieue Nord,2010,1,207200
146,6,Banlieue Nord,2021,0,454200
50,2,Centre-Ville,1960,0,260500
111,4,Banlieue Sud,1993,1,283800
121,5,Centre-Ville,1972,1,648400
129,4,Banlieue Sud,2019,1,401700
93,3,Banlieue Sud,2010,1,275300
43,1,Banlieue Nord,2021,1,148900
53,2,Quartier Résidentiel,1951,1,196700
40,1,Quartier Résidentiel,2001,1,162600
90,3,Zone Industrielle,1984,1,190100
97,3,Banlieue Sud,2010,0,340900
32,1,Banlieue Nord,1959,0,89700
76,3,Banlieue Nord,1959,1,230000
100,3,Banlieue Sud,1999,0,278500
87,3,Banlieue Sud,1954,1,246300
104,4,Quartier Résidentiel,1985,0,393600
330,10,Centre-Ville,1982,1,1438000
68,2,Quartier Résidentiel,1950,0,238400
62,2,Banlieue Sud,1972,1,190300
48,2,Banlieue Sud,2019,1,157900
68,1,Quartier Résidentiel,1989,1,299800
72,3,Banlieue Sud,1986,0,188200
138,6,Banlieue Nord,1978,1,483100
35,1,Quartier Résidentiel,1990,0,123200
41,1,Banlieue Sud,1978,0,123000
89,4,Banlieue Sud,1988,1,287300
79,2,Centre-Ville,2007,0,392000
66,2,Banlieue Sud,1976,1,205800
126,5,Banlieue Nord,1957,1,352900
156,5,Banlieue Sud,1974,1,360500
45,1,Zone Industrielle,1992,0,101900
94,3,Quartier Résidentiel,1995,1,425400
127,5,Quartier Résidentiel,1968,1,513100
50,2,Quartier Résidentiel,2013,0,187000
51,2,Banlieue Nord,1963,1,181400
99,4,Zone Industrielle,1963,0,214100
91,3,Centre-Ville,1951,1,469600
36,1,Banlieue Nord,1978,1,123600
110,4,Quartier Résidentiel,2020,0,382000
91,3,Banlieue Sud,1959,1,267100
99,4,Zone Industrielle,1976,1,209900
74,3,Quartier Résidentiel,2009,1,333500
56,2,Quartier Résidentiel,1978,1,253900
103,3,Quartier Résidentiel,2002,0,398100
60,2,Banlieue Sud,1986,1,167700
55,1,Banlieue Sud,2019,1,165300
63,2,Banlieue Nord,2000,0,207100
60,2,Banlieue Nord,1997,1,195900
115,4,Banlieue Sud,1951,1,270200
44,2,Centre-Ville,1989,1,311900
76,2,Zone Industrielle,1974,1,176100
141,5,Banlieue Nord,1986,1,482700
105,4,Banlieue Nord,1982,1,370600
84,3,Banlieue Sud,1979,1,274300
79,3,Zone Industrielle,1999,1,186700
35,1,Zone Industrielle,2002,0,77500
39,1,Zone Industrielle,1989,0,79800
63,3,Quartier Résidentiel,2013,1,280900
43,2,Quartier Résidentiel,1950,1,186700
56,2,Banlieue Sud,1965,1,175900
94,2,Banlieue Sud,2005,1,313600
80,3,Banlieue Nord,1997,0,282100
,3,Quartier Résidentiel,1976,1,228500
47,2,Banlieue Sud,1953,0,104200
83,3,Quartier Résidentiel,1988,1,346900
36,1,Banlieue Sud,1977,1,122100
128,4,Zone Industrielle,1951,1,234500
87,4,Banlieue Sud,2014,0,238500
78,2,Quartier Résidentiel,1989,1,332000
124,5,Banlieue Nord,1990,1,424100
37,1,Centre-Ville,1968,0,159100
81,3,Quartier Résidentiel,1984,1,331900
277,10,Banlieue Nord,1956,1,858900
34,1,Quartier Résidentiel,1990,0,146300
33,1,Centre-Ville,2005,1,178300
58,2,Quartier Résidentiel,1952,1,205600
128,5,Quartier Résidentiel,2003,0,540300
80,2,Banlieue Nord,1969,1,272000
123,5,Centre-Ville,1961,0,750700
228,8,Banlieue Sud,1959,1,514800
135,5,Quartier Résidentiel,1978,1,494200
123,5,Banlieue Sud,2023,1,421800
108,4,Quartier Résidentiel,1971,1,402300
126,5,Zone Industrielle,2004,1,268300
85,3,Banlieue Sud,2021,0,234200
66,2,Banlieue Nord,1978,0,224900
97,3,Banlieue Nord,2003,0,348400
,4,Banlieue Nord,1994,1,445800
78,3,Banlieue Sud,2017,1,241000
72,2,Quartier Résidentiel,2022,0,329400
59,2,Banlieue Nord,1954,1,205600
106,4,Banlieue Nord,1959,1,352000
148,5,Banlieue Sud,2019,0,414700
171,6,Quartier Résidentiel,1988,1,655300
113,5,Quartier Résidentiel,1995,1,359000
,3,Banlieue Nord,1980,0,291700
90,3,Zone Industrielle,1987,1,185400
74,3,Quartier Résidentiel,1999,0,267600
172,6,Banlieue Sud,2006,0,532100
70,2,Centre-Ville,1969,0,368100
87,4,Banlieue Sud,1973,0,258300
46,1,Quartier Résidentiel,1958,0,186600
96,3,Banlieue Nord,1992,1,281000
55,2,Zone Industrielle,1992,1,108700
129,4,Banlieue Sud,1959,0,319200
111,4,Zone Industrielle,1959,1,269500
35,1,Zone Industrielle,1975,1,77300
42,1,Banlieue Nord,1983,1,144300
119,4,Banlieue Sud,2021,1,359400
149,5,Quartier Résidentiel,2013,0,585900
119,4,Banlieue Nord,1955,1,308700
27,1,Quartier Résidentiel,2022,1,131800
123,5,Zone Industrielle,1980,1,238300
52,1,Quartier Résidentiel,2021,1,196800
194,8,Zone Industrielle,1979,0,471400
96,3,Banlieue Sud,1998,0,246900
111,3,Banlieue Nord,2009,1,368100
150,5,Zone Industrielle,1982,0,284300
176,7,Zone Industrielle,1984,1,299300
35,1,Banlieue Sud,1973,1,118400
50,1,Banlieue Sud,1984,1,135700
90,3,Banlieue Sud,2009,1,278600
120,5,Quartier Résidentiel,1995,1,519200
116,4,Centre-Ville,1960,1,527300
65,2,Centre-Ville,1965,0,315000
75,3,Banlieue Nord,1968,0,245700
,3,Banlieue Nord,2018,0,280900
198,7,Banlieue Sud,1984,1,511300
107,3,Quartier Résidentiel,2017,1,402200
168,6,Quartier Résidentiel,1978,1,566900
70,3,Quartier Résidentiel,1953,0,210100
66,1,Centre-Ville,2012,0,361400
243,10,Quartier Résidentiel,2007,0,983100
159,5,Centre-Ville,2014,0,833800
38,1,Banlieue Sud,1988,0,120500
43,1,Banlieue Nord,1982,1,145100
86,3,Banlieue Sud,2010,1,322400
61,2,Banlieue Sud,2022,1,203200
70,2,Banlieue Sud,2004,1,227600
38,1,Banlieue Sud,1993,1,137100
53,2,Quartier Résidentiel,1978,1,198300
145,6,Quartier Résidentiel,1998,1,559900
184,6,Quartier Résidentiel,1971,1,669100
42,1,Centre-Ville,1963,0,188400
50,2,Banlieue Sud,2006,1,150000
146,6,Banlieue Sud,2014,1,377400
119,4,Zone Industrielle,2011,1,247600
45,1,Banlieue Nord,1952,0,127100
67,2,Banlieue Sud,2007,1,218700
144,6,Banlieue Sud,2018,0,380700
189,7,Quartier Résidentiel,1968,1,749200
143,6,Centre-Ville,1984,0,775300
102,4,Centre-Ville,2024,1,713600
39,1,Quartier Résidentiel,1992,0,139100
127,5,Quartier Résidentiel,2024,1,439700
129,6,Centre-Ville,2013,1,837600
63,1,Quartier Résidentiel,1963,0,211500
93,2,Centre-Ville,1978,1,525500
42,2,Quartier Résidentiel,2019,1,241000
143,6,Banlieue Sud,1999,0,353200
53,2,Banlieue Nord,1950,1,163400
144,6,Banlieue Sud,1954,1,381800
116,3,Banlieue Nord,1997,1,378000
178,7,Banlieue Sud,1962,0,532000
87,3,Centre-Ville,1983,1,473900
32,1,Banlieue Nord,2006,0,110100
131,5,Banlieue Nord,1962,0,447200
270,10,Quartier Résidentiel,1991,1,971400
130,5,Quartier Résidentiel,1993,0,586800
190,7,Zone Industrielle,1958,0,308200
113,4,Banlieue Sud,1995,0,314100
175,6,Banlieue Nord,1969,0,537300
73,2,Zone Industrielle,1957,1,118000
86,2,Banlieue Nord,2020,1,292000
70,2,Banlieue Sud,1952,1,179100
57,2,Quartier Résidentiel,2019,0,199600
79,3,Quartier Résidentiel,1953,1,336800
88,3,Quartier Résidentiel,1993,1,362600
124,4,Banlieue Sud,2009,1,405700
56,1,Banlieue Sud,1971,0,120000
62,2,Quartier Résidentiel,1957,1,236000
85,3,Banlieue Nord,2013,1,329300
59,1,Banlieue Sud,1995,0,165700
107,4,Zone Industrielle,1957,0,210000
43,1,Banlieue Nord,1985,0,137400
124,4,Banlieue Nord,1964,0,326500
147,5,Banlieue Sud,1977,0,423100
38,2,Banlieue Sud,2009,0,111400
84,2,Banlieue Nord,1964,1,178900
85,3,Zone Industrielle,2023,1,196200
91,3,Zone Industrielle,2005,1,186400
93,3,Banlieue Sud,1986,0,235900
52,1,Quartier Résidentiel,1994,1,246200
100,3,Quartier Résidentiel,2023,0,334500
86,3,Banlieue Nord,1999,1,273400
93,3,Quartier Résidentiel,1954,1,342000
82,2,Banlieue Sud,1974,1,234000
220,9,Centre-Ville,1993,1,1281500
66,2,Quartier Résidentiel,1979,1,226600
98,4,Zone Industrielle,1994,1,185400
171,7,Zone Industrielle,1995,1,404800
242,10,Centre-Ville,1978,1,1538100
93,4,Quartier Résidentiel,2015,1,405900
91,4,Quartier Résidentiel,1976,1,393900
100,5,Banlieue Sud,1958,1,254100
51,1,Banlieue Sud,2007,0,126100
230,8,Quartier Résidentiel,2000,1,896800
56,1,Banlieue Sud,2018,1,172100
99,3,Banlieue Sud,1979,1,264700
88,3,Zone Industrielle,2017,1,195500
111,4,Banlieue Sud,2010,1,286800
69,2,Banlieue Nord,1996,0,200300
57,1,Quartier Résidentiel,1968,1,284100
137,4,Banlieue Sud,2000,1,401500
78,2,Quartier Résidentiel,1952,1,233200
73,3,Zone Industrielle,1970,1,140300
,6,Banlieue Sud,1964,1,305200
47,1,Banlieue Sud,1952,0,130600
116,3,Centre-Ville,2019,0,642900
145,5,Zone Industrielle,1995,1,324500
106,3,Banlieue Sud,1977,1,290700
164,6,Banlieue Nord,1970,1,552600
125,5,Banlieue Nord,2010,1,381900
127,5,Quartier Résidentiel,2018,1,547600
26,1,Centre-Ville,1998,0,155500
63,2,Banlieue Sud,2015,1,244700
52,2,Centre-Ville,1987,0,257500
167,6,Zone Industrielle,1993,1,312200
79,2,Banlieue Nord,2007,1,261400
123,4,Centre-Ville,2006,1,760400
146,5,Banlieue Sud,1992,0,415200
48,2,Banlieue Sud,2009,1,153300
85,3,Banlieue Sud,1959,1,204800
51,1,Centre-Ville,1953,1,264600
28,1,Banlieue Sud,2014,0,77800
67,3,Zone Industrielle,1999,1,157200
29,1,Zone Industrielle,2001,0,68900
90,4,Banlieue Sud,2000,0,277100
103,4,Banlieue Nord,1993,1,378600
101,4,Quartier Résidentiel,2020,0,421300
97,3,Banlieue Sud,1985,1,280600
115,4,Zone Industrielle,1980,1,231300
44,1,Quartier Résidentiel,1986,0,160100
32,1,Quartier Résidentiel,1969,0,123800
126,5,Banlieue Sud,2010,1,373300
37,1,Quartier Résidentiel,1988,1,153400
,3,Banlieue Nord,1992,1,298900
72,3,Quartier Résidentiel,2007,1,319500
55,2,Centre-Ville,1976,1,305600
37,1,Banlieue Sud,1954,1,118600
94,4,Banlieue Sud,2013,1,307400
48,2,Banlieue Sud,1982,1,141900
104,4,Banlieue Nord,1970,0,308200
146,6,Banlieue Sud,2009,0,401300
105,3,Zone Industrielle,1978,1,248300
126,4,Centre-Ville,2006,0,787300
47,1,Zone Industrielle,2009,0,103600
89,3,Banlieue Nord,1953,1,252000
94,3,Zone Industrielle,1994,1,222500
91,2,Banlieue Nord,2001,0,278200
98,4,Quartier Résidentiel,2002,1,346200
78,2,Banlieue Nord,1950,1,235800
85,2,Zone Industrielle,2007,1,167600
72,3,Banlieue Sud,1977,1,209500
65,2,Banlieue Sud,1967,1,224500
86,4,Banlieue Sud,1960,0,227100
37,2,Centre-Ville,1954,0,207300
,3,Centre-Ville,1966,0,600900
63,2,Quartier Résidentiel,1972,1,255700
130,4,Zone Industrielle,1964,0,249900
32,1,Banlieue Sud,1998,1,101400
156,5,Quartier Résidentiel,2013,1,617600
95,3,Quartier Résidentiel,1993,1,442100
80,2,Banlieue Sud,1993,0,252200
51,2,Banlieue Nord,1975,1,148300
331,10,Centre-Ville,1961,1,1681200
94,3,Banlieue Nord,2004,1,346800
131,5,Banlieue Sud,1958,1,351000
83,2,Banlieue Nord,2005,1,266600
187,7,Quartier Résidentiel,1976,0,757600
57,1,Centre-Ville,1967,1,317300
48,1,Banlieue Nord,2011,0,166700
86,3,Banlieue Nord,1972,1,259800
121,5,Centre-Ville,1978,1,735500
215,8,Banlieue Sud,1953,1,486000
55,1,Quartier Résidentiel,1994,1,225000
158,5,Quartier Résidentiel,1992,0,688300
171,7,Banlieue Sud,2011,0,535100
162,7,Centre-Ville,1952,1,779900
108,3,Centre-Ville,2018,0,508800
30,1,Quartier Résidentiel,1951,1,108300
138,6,Zone Industrielle,1959,1,277700
142,4,Quartier Résidentiel,1956,0,543300
27,1,Banlieue Sud,1963,0,75500
81,3,Banlieue Sud,2001,1,229900
43,2,Quartier Résidentiel,1974,1,188100
65,2,Quartier Résidentiel,1962,1,264200
75,2,Quartier Résidentiel,1961,1,275900
53,2,Banlieue Sud,1996,1,152500
127,5,Centre-Ville,1999,1,756200
213,9,Zone Industrielle,1997,0,429900
103,3,Centre-Ville,1989,1,615700
112,5,Quartier Résidentiel,1982,1,393300
85,3,Zone Industrielle,2002,1,151300
91,3,Centre-Ville,1954,1,425200
141,6,Banlieue Sud,2019,0,467600
114,4,Quartier Résidentiel,2008,1,436100
123,4,Banlieue Nord,1950,1,438400
79,3,Quartier Résidentiel,1971,1,340800
91,4,Banlieue Sud,1969,1,226600
126,5,Banlieue Sud,1973,0,266100
115,4,Zone Industrielle,2000,1,272900
84,2,Quartier Résidentiel,1989,1,302600
109,4,Banlieue Sud,1989,0,283300
57,2,Banlieue Sud,2005,1,224700
93,4,Quartier Résidentiel,1994,0,277700
88,2,Banlieue Sud,2006,1,284400
74,3,Banlieue Sud,1979,0,223200
89,2,Banlieue Nord,1974,1,302000
170,7,Zone Industrielle,1970,1,308900
126,5,Centre-Ville,1995,1,650200
35,1,Quartier Résidentiel,1974,0,138100
48,2,Banlieue Sud,1954,0,140100
80,3,Banlieue Nord,1960,0,228500
28,1,Banlieue Sud,2015,0,77100
58,2,Banlieue Nord,2022,0,202300
296,10,Banlieue Sud,2021,1,1006900
110,4,Centre-Ville,2014,1,697000
97,5,Banlieue Nord,1975,1,300500
147,6,Banlieue Nord,1980,1,401900
146,6,Zone Industrielle,2003,0,314300
165,7,Zone Industrielle,1985,0,335400
108,4,Centre-Ville,1963,0,520100
58,2,Centre-Ville,1955,0,322300
47,2,Banlieue Nord,1996,0,147900
92,3,Zone Industrielle,1989,1,203500
141,5,Quartier Résidentiel,1956,1,468700
99,4,Quartier Résidentiel,1999,0,337400
109,3,Banlieue Nord,1990,0,351200
111,4,Zone Industrielle,2006,1,213200
51,1,Zone Industrielle,1961,1,113600
99,3,Banlieue Nord,2006,0,341900
164,6,Banlieue Nord,1998,1,546000
94,3,Centre-Ville,1994,0,583600
58,2,Centre-Ville,1980,1,319800
43,2,Banlieue Nord,1980,1,151000
27,1,Banlieue Sud,2021,0,74600
78,2,Banlieue Sud,2018,1,254300
77,3,Quartier Résidentiel,2005,1,250400
124,4,Banlieue Nord,2022,1,381700
,2,Quartier Résidentiel,2007,0,150400
33,1,Banlieue Sud,1985,1,111000
52,1,Banlieue Sud,1978,1,168200
52,1,Banlieue Nord,1961,0,152500
38,1,Banlieue Sud,1982,1,124800
72,2,Banlieue Nord,2014,0,205000
149,5,Quartier Résidentiel,2003,0,558300
